Time,EGO_GPSdirection,EGO_latGPS,EGO_longGPS,EGO_longSpeed,EGO_longAccel,EGO_latAccel,EGO_SwAngle,EGO_SwRotSpeed,OBJECT_0001_Unique_ID,OBJECT_0001_Length,OBJECT_0001_Width,OBJECT_0001_Height,OBJECT_0001_LongPos,OBJECT_0001_LatPos,OBJECT_0001_LongVel,OBJECT_0001_LatVel,OBJECT_0001_LongAccel,OBJECT_0001_ObstacleClass
1.95,-65,48.8734017993,2.29647964383,2.67894554138,1.64992713928,0.00935531686991,0.0440654270351,-0.0153607614338,45,4.326,1.773,1.494,5,0,0,0,0.00894214306027,1
2,-65,48.8734021534,2.29647852647,2.76138234138,1.64992237091,0.00975411664695,0.0432416386902,-0.0164876095951,45,4.326,1.773,1.494,5,0,0,0,0.00935531686991,1
2.05,-65,48.8734025166,2.29647737982,2.84352970123,1.64991760254,0.0101162614301,0.0422933287919,-0.0190466474742,45,4.326,1.773,1.494,5,0,0,0,0.00975411664695,1
2.1,-65,48.8734028928,2.29647619156,2.92624688148,1.64991259575,0.0104512935504,0.0412587039173,-0.020637081936,45,4.326,1.773,1.494,5,0,0,0,0.0101162614301,1
2.15,-65,48.8734032776,2.2964749755,3.00857591629,1.64990746975,0.0107329040766,0.0400832444429,-0.0235566757619,45,4.326,1.773,1.494,5,0,0,0,0.0104512935504,1
2.2,-65,48.8734036731,2.29647372547,3.09094381332,1.64990210533,0.0109715219587,0.038819719106,-0.0253096111119,45,4.326,1.773,1.494,5,0,0,0,0.0107329040766,1
2.25,-65,48.8734040776,2.29647244603,3.17306184769,1.64989674091,0.0111279813573,0.0373617447913,-0.0292932614684,45,4.326,1.773,1.494,5,0,0,0,0.0109715219587,1
2.3,-65,48.8734044938,2.29647112913,3.25543880463,1.64989113808,0.0112614715472,0.0359206311405,-0.0288633443415,45,4.326,1.773,1.494,5,0,0,0,0.0111279813573,1
2.35,-65,48.8734049196,2.29646978139,3.33766198158,1.64988541603,0.0113306883723,0.0343826711178,-0.0308606885374,45,4.326,1.773,1.494,5,0,0,0,0.0112614715472,1
2.4,-65,48.8734053571,2.29646839574,3.42015242577,1.64987957478,0.0113344890997,0.0327551141381,-0.0325524397194,45,4.326,1.773,1.494,5,0,0,0,0.0113306883723,1
2.45,-65,48.8734058049,2.29646697702,3.50261759758,1.6498734951,0.0111137591302,0.030622722581,-0.0426626801491,45,4.326,1.773,1.494,5,0,0,0,0.0113344890997,1
2.5,-65,48.8734062628,2.29646552577,3.58502793312,1.64986729622,0.010819952935,0.0284582823515,-0.0433324053884,45,4.326,1.773,1.494,5,0,0,0,0.0111137591302,1
2.55,-65,48.8734067388,2.29646401653,3.66877007484,1.64986097813,0.0104760043323,0.026310140267,-0.0423219799995,45,4.326,1.773,1.494,5,0,0,0,0.010819952935,1
2.6,-65,48.8734072098,2.29646252272,3.74985837936,1.64985442162,0.00998564716429,0.0240057390183,-0.0468862242997,45,4.326,1.773,1.494,5,0,0,0,0.0104760043323,1
2.65,-65,48.8734077076,2.29646094318,3.83371925354,1.6498478651,0.00952886138111,0.0219163931906,-0.0411049984396,45,4.326,1.773,1.494,5,0,0,0,0.00998564716429,1
2.7,-65,48.8734082079,2.29645935552,3.91623091698,1.64984107018,0.00891562271863,0.0196509640664,-0.0452978461981,45,4.326,1.773,1.494,5,0,0,0,0.00952886138111,1
2.75,-65,48.8734087179,2.29645773653,3.99863290787,1.64983415604,0.00826328806579,0.017470235005,-0.0436621718109,45,4.326,1.773,1.494,5,0,0,0,0.00891562271863,1
2.8,-65,48.8734092394,2.2964560804,4.08121585846,1.64982700348,0.00755360117182,0.0153300631791,-0.0427560210228,45,4.326,1.773,1.494,5,0,0,0,0.00826328806579,1
2.85,-65,48.8734097701,2.29645439492,4.16359519958,1.64981985092,0.0067747044377,0.0132105937228,-0.0424466393888,45,4.326,1.773,1.494,5,0,0,0,0.00755360117182,1
2.9,-65,48.8734103104,2.29645267855,4.2458562851,1.64981245995,0.00594314420596,0.0111443512142,-0.0414403416216,45,4.326,1.773,1.494,5,0,0,0,0.0067747044377,1
2.95,-65,48.8734108602,2.29645093174,4.32798480988,1.64980494976,0.00506146345288,0.00913426838815,-0.0403786078095,45,4.326,1.773,1.494,5,0,0,0,0.00594314420596,1
3,-65,48.8734114208,2.29644915037,4.40966033936,1.63925015926,0.00413871882483,0.00719490041956,-0.038923624903,45,4.326,1.773,1.494,5,0,0,0,0.00506146345288,1
3.05,-65,48.8734119924,2.29644733367,4.49005508423,1.61097729206,0.00317619089037,0.00532564800233,-0.0374567769468,45,4.326,1.773,1.494,5,0,0,0,0.00413871882483,1
3.1,-65,48.8734125733,2.29644548754,4.56808042526,1.56526458263,0.00217849365436,0.00352905131876,-0.0360413938761,45,4.326,1.773,1.494,5,0,0,0,0.00317619089037,1
3.15,-65,48.8734131771,2.29644356864,4.64466285706,1.50274848938,-0.00011087051098,-0.000173730790266,-0.0726582109928,45,4.326,1.773,1.494,5,0,0,0,0.00217849365436,1
3.2,-65,48.8734137774,2.29644166069,4.71573257446,1.42391848564,-0.00243500317447,-0.00370143703185,-0.0706796348095,45,4.326,1.773,1.494,5,0,0,0,-0.00011087051098,1
3.25,-65,48.8734143842,2.29643973239,4.78190803528,1.33013927937,-0.00463923159987,-0.00685824127868,-0.0634524002671,45,4.326,1.773,1.494,5,0,0,0,-0.00243500317447,1
3.3,-65,48.8734150035,2.29643776486,4.84319448471,1.22263491154,-0.00673768483102,-0.00970992818475,-0.0568899102509,45,4.326,1.773,1.494,5,0,0,0,-0.00463923159987,1
3.35,-65,48.8734156268,2.2964357847,4.89820051193,1.10259878635,-0.00872282125056,-0.0122900279239,-0.0517178289592,45,4.326,1.773,1.494,5,0,0,0,-0.00673768483102,1
