Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
0.7100000000;0.0079125367;-0.0102925856;-0.0022880226;0.0273541639;0.0478964533;-0.0878297293
0.7200000000;0.0080115539;-0.0104236375;-0.0023362055;0.0295412900;0.0478880280;-0.0889704682
0.7300000000;0.0081102910;-0.0105538960;-0.0023887878;0.0318339673;0.0478221763;-0.0900955731
0.7400000000;0.0082087490;-0.0106833440;-0.0024460349;0.0342155750;0.0477053750;-0.0912026346
0.7500000000;0.0083069288;-0.0108119670;-0.0025082116;0.0366678165;0.0475494292;-0.0922882566
0.7600000000;0.0084048314;-0.0109397536;-0.0025755704;0.0391751558;0.0473663435;-0.0933489482
0.7700000000;0.0085024578;-0.0110666942;-0.0026483397;0.0417234065;0.0471641427;-0.0943823989
0.7800000000;0.0085998086;-0.0111927814;-0.0027267147;0.0442965655;0.0469482155;-0.0953876766
0.7900000000;0.0086968847;-0.0113180093;-0.0028108662;0.0468773748;0.0467259112;-0.0963644064
0.8000000000;0.0087936866;-0.0114423727;-0.0029009700;0.0494497705;0.0465052759;-0.0973121252
0.8100000000;0.0088902150;-0.0115658670;-0.0029972284;0.0520007132;0.0462884887;-0.0982302987
0.8200000000;0.0089864707;-0.0116884877;-0.0030998639;0.0545218305;0.0460706884;-0.0991185950
0.8300000000;0.0090824544;-0.0118102296;-0.0032090910;0.0570093749;0.0458465502;-0.0999769487
0.8400000000;0.0091781671;-0.0119310871;-0.0033250890;0.0594608934;0.0456146539;-0.1008053346
0.8500000000;0.0092736097;-0.0120510545;-0.0034479852;0.0618717999;0.0453771356;-0.1016034603
0.8600000000;0.0093687832;-0.0121701261;-0.0035778379;0.0642353226;0.0451420839;-0.1023705590
0.8700000000;0.0094636886;-0.0122882971;-0.0037146147;0.0665454149;0.0449243006;-0.1031054212
0.8800000000;0.0095583264;-0.0124055639;-0.0038581729;0.0687981380;0.0447377844;-0.1038066820
0.8900000000;0.0096526972;-0.0125219245;-0.0040082514;0.0709872724;0.0445895026;-0.1044730903
0.9000000000;0.0097468009;-0.0126373786;-0.0041644810;0.0730998431;0.0444807568;-0.1051035687
0.9100000000;0.0098406377;-0.0127519268;-0.0043264115;0.0751196491;0.0444120481;-0.1056970827
0.9200000000;0.0099342074;-0.0128655710;-0.0044935381;0.0770338722;0.0443881843;-0.1062524453
0.9300000000;0.0100275102;-0.0129783138;-0.0046653100;0.0788347779;0.0444173791;-0.1067682388
0.9400000000;0.0101205463;-0.0130901585;-0.0048411279;0.0805170564;0.0445050243;-0.1072429673
0.9500000000;0.0102133161;-0.0132011090;-0.0050203406;0.0820745537;0.0446535675;-0.1076753614
0.9600000000;0.0103058201;-0.0133111697;-0.0052022446;0.0834990227;0.0448672003;-0.1080644327
0.9700000000;0.0103980589;-0.0134203453;-0.0053860845;0.0847808533;0.0451510120;-0.1084090936
0.9800000000;0.0104900329;-0.0135286405;-0.0055710601;0.0859103202;0.0455070353;-0.1087080122
0.9900000000;0.0105817429;-0.0136360599;-0.0057563431;0.0868787475;0.0459336070;-0.1089599873
